梯度++,梯度-+,梯度+-,梯度--,卡方统计量,把握,列,名称
22.858462,26.976064,24.59786,25.567613,13.0467013203912,99.9,119,NASDAQ.WDC
16.0908,33.66814,23.905183,26.335878,240.982419707461,99.9,120,NASDAQ.WFM
19.506768,31.309104,21.444465,27.739663,30.2983719317269,99.9,121,NASDAQ.WLTW
21.760927,27.737741,24.659251,25.842081,30.3832200065895,99.9,122,NASDAQ.WYNN
21.365159,28.710218,22.663317,27.261307,9.02135981165037,99.5,123,NASDAQ.XLNX
19.040075,30.941286,20.438024,29.580615,8.59253931515844,99.5,124,NASDAQ.XRAY
20.964164,29.266212,22.414676,27.354949,12.9971522855382,99.9,125,NASDAQ.ZION
19.52599,30.595206,21.132956,28.745848,13.4292330744775,99.9,126,NYSE.A
21.305057,28.491028,23.980424,26.223491,30.6952857374169,99.9,127,NYSE.AAP
22.180847,27.944629,23.791791,26.082733,14.8218142901753,99.9,128,NYSE.ABBV
20.145344,28.773027,22.95927,28.122359,17.0893225819293,99.9,129,NYSE.ABC
19.939525,30.583153,22.557235,26.920086,44.4137469578754,99.9,130,NYSE.ABT
22.344771,28.210784,23.088235,26.356209,7.69403653904598,99,131,NYSE.ACN
20.089797,29.536051,21.736068,28.638084,8.29920560702635,99.5,132,NYSE.ADM
19.319471,30.860113,20.973535,28.846881,14.2296561199078,99.9,133,NYSE.ADS
18.068012,32.034753,20.908072,28.989163,38.376486582876,99.9,134,NYSE.AEE
19.935803,30.172638,21.879067,28.012492,19.600052629081,99.9,135,NYSE.AEP
11.640697,38.004125,22.605408,27.749771,445.564262404871,99.9,136,NYSE.AES
22.020911,28.374172,24.215819,25.389097,33.0397857621274,99.9,137,NYSE.AET
20.190595,29.996437,22.043107,27.769861,18.6028689948984,99.9,138,NYSE.AFL
22.192308,27.015385,25,25.792308,22.1394108113604,99.9,139,NYSE.AGN
20.538692,28.490808,22.359983,28.610517,4.66809144737959,95,140,NYSE.AIG
16.532496,34.527783,21.136855,27.802867,126.70820923234,99.9,141,NYSE.AIV
